(row player, column player);best_gen_chrom_0;best_gen_chrom_1;best_gen_chrom_2;best_gen_chrom_3;best_gen_chrom_4;low_defect_tolerance;mid_defect_tolerance;high_defect_toleranc;always_defect;always_cooperate;pure_random_choice;tit_for_tat;random_strategy_1;random_strategy_2;random_strategy_3
best_gen_chrom_0;144, 144;144, 144;144, 144;144, 144;144, 144;38, 98;42, 97;175, 75;38, 98;202, 72;114, 89;98, 98;106, 46;101, 96;84, 99
best_gen_chrom_1;144, 144;144, 144;144, 144;144, 144;144, 144;38, 98;42, 97;175, 75;38, 98;202, 72;115, 100;98, 98;106, 46;101, 96;84, 99
best_gen_chrom_2;144, 144;144, 144;144, 144;144, 144;144, 144;38, 98;42, 97;175, 75;38, 98;202, 72;127, 87;98, 98;106, 46;101, 96;84, 99
best_gen_chrom_3;144, 144;144, 144;144, 144;144, 144;144, 144;38, 98;42, 97;194, 74;38, 98;202, 72;112, 107;102, 97;106, 46;86, 126;84, 99
best_gen_chrom_4;144, 144;144, 144;144, 144;144, 144;144, 144;38, 98;42, 97;194, 74;38, 98;202, 72;144, 74;102, 97;106, 46;88, 103;84, 99
low_defect_tolerance;98, 38;98, 38;98, 38;98, 38;98, 38;50, 50;60, 55;151, 146;50, 50;152, 147;126, 96;60, 55;114, 34;124, 139;102, 37
mid_defect_tolerance;97, 42;97, 42;97, 42;97, 42;97, 42;55, 60;150, 150;150, 150;49, 54;150, 150;102, 147;150, 150;116, 41;80, 190;97, 42
high_defect_toleranc;75, 175;75, 175;75, 175;74, 194;74, 194;146, 151;150, 150;150, 150;49, 54;150, 150;85, 180;150, 150;94, 179;77, 192;76, 181
always_defect;98, 38;98, 38;98, 38;98, 38;98, 38;50, 50;54, 49;54, 49;50, 50;250, 0;138, 28;54, 49;114, 34;246, 1;102, 37
always_cooperate;72, 202;72, 202;72, 202;72, 202;72, 202;147, 152;150, 150;150, 150;0, 250;150, 150;87, 192;150, 150;99, 184;3, 248;72, 202
pure_random_choice;66, 131;115, 120;95, 125;96, 101;59, 144;70, 125;155, 105;174, 84;29, 134;198, 78;102, 102;106, 101;127, 97;81, 126;128, 113
tit_for_tat;98, 98;98, 98;98, 98;97, 102;97, 102;55, 60;150, 150;150, 150;49, 54;150, 150;123, 123;150, 150;137, 137;130, 130;85, 90
random_strategy_1;46, 106;46, 106;46, 106;46, 106;46, 106;34, 114;41, 116;179, 94;34, 114;184, 99;106, 111;137, 137;106, 106;44, 199;75, 195
random_strategy_2;96, 101;96, 101;96, 101;126, 86;103, 88;139, 124;190, 80;192, 77;1, 246;248, 3;114, 104;130, 130;199, 44;108, 108;77, 162
random_strategy_3;99, 84;99, 84;99, 84;99, 84;99, 84;37, 102;42, 97;181, 76;37, 102;202, 72;124, 134;90, 85;195, 75;162, 77;76, 76
